ID,Title,Subtitle,Category,Subcategory,Difficulty,Description,Primary Benefit,Secondary Benefit,Tertiary Benefit,Implementation Time,Frequency,Cost,Scientific Backing,Tags
194,"Advanced Morning The 2-Minute Morning Gratitude Practice","Start your day with scientifically-proven positivity - Advanced Morning Edition",happiness,mindfulness,Advanced,"Write three specific things you're grateful for each morning, focusing on why you're grateful.","Increase happiness by 25%","Improve relationships significantly","Reduce depression symptoms",2 minutes,Daily,Free,No,"gratitude, morning routine, happiness, mindfulness, mental health, advanced, morning"
195,"Advanced Evening The 2-Minute Morning Gratitude Practice","Start your day with scientifically-proven positivity - Advanced Evening Edition",happiness,mindfulness,Advanced,"Write three specific things you're grateful for each morning, focusing on why you're grateful.","Increase happiness by 25%","Improve relationships significantly","Reduce depression symptoms",2 minutes,Daily,Free,No,"gratitude, morning routine, happiness, mindfulness, mental health, advanced, evening"
196,"Advanced Weekend The 2-Minute Morning Gratitude Practice","Start your day with scientifically-proven positivity - Advanced Weekend Edition",happiness,mindfulness,Advanced,"Write three specific things you're grateful for each morning, focusing on why you're grateful.","Increase happiness by 25%","Improve relationships significantly","Reduce depression symptoms",2 minutes,Daily,Free,No,"gratitude, morning routine, happiness, mindfulness, mental health, advanced, weekend"
197,"Advanced Workplace The 2-Minute Morning Gratitude Practice","Start your day with scientifically-proven positivity - Advanced Workplace Edition",happiness,mindfulness,Advanced,"Write three specific things you're grateful for each morning, focusing on why you're grateful.","Increase happiness by 25%","Improve relationships significantly","Reduce depression symptoms",2 minutes,Daily,Free,No,"gratitude, morning routine, happiness, mindfulness, mental health, advanced, workplace"
198,"Advanced Travel The 2-Minute Morning Gratitude Practice","Start your day with scientifically-proven positivity - Advanced Travel Edition",happiness,mindfulness,Advanced,"Write three specific things you're grateful for each morning, focusing on why you're grateful.","Increase happiness by 25%","Improve relationships significantly","Reduce depression symptoms",2 minutes,Daily,Free,No,"gratitude, morning routine, happiness, mindfulness, mental health, advanced, travel"
199,"Advanced Family The 2-Minute Morning Gratitude Practice","Start your day with scientifically-proven positivity - Advanced Family Edition",happiness,mindfulness,Advanced,"Write three specific things you're grateful for each morning, focusing on why you're grateful.","Increase happiness by 25%","Improve relationships significantly","Reduce depression symptoms",2 minutes,Daily,Free,No,"gratitude, morning routine, happiness, mindfulness, mental health, advanced, family"
200,"Quick Morning The 2-Minute Morning Gratitude Practice","Start your day with scientifically-proven positivity - Quick Morning Edition",happiness,mindfulness,Easy,"Write three specific things you're grateful for each morning, focusing on why you're grateful.","Increase happiness by 25%","Improve relationships significantly","Reduce depression symptoms",5 minutes,Daily,Free,No,"gratitude, morning routine, happiness, mindfulness, mental health, quick, morning"
201,"Quick Evening The 2-Minute Morning Gratitude Practice","Start your day with scientifically-proven positivity - Quick Evening Edition",happiness,mindfulness,Easy,"Write three specific things you're grateful for each morning, focusing on why you're grateful.","Increase happiness by 25%","Improve relationships significantly","Reduce depression symptoms",5 minutes,Daily,Free,No,"gratitude, morning routine, happiness, mindfulness, mental health, quick, evening"
202,"Quick Weekend The 2-Minute Morning Gratitude Practice","Start your day with scientifically-proven positivity - Quick Weekend Edition",happiness,mindfulness,Easy,"Write three specific things you're grateful for each morning, focusing on why you're grateful.","Increase happiness by 25%","Improve relationships significantly","Reduce depression symptoms",5 minutes,Daily,Free,No,"gratitude, morning routine, happiness, mindfulness, mental health, quick, weekend"
203,"Quick Workplace The 2-Minute Morning Gratitude Practice","Start your day with scientifically-proven positivity - Quick Workplace Edition",happiness,mindfulness,Easy,"Write three specific things you're grateful for each morning, focusing on why you're grateful.","Increase happiness by 25%","Improve relationships significantly","Reduce depression symptoms",5 minutes,Daily,Free,No,"gratitude, morning routine, happiness, mindfulness, mental health, quick, workplace"
204,"Quick Travel The 2-Minute Morning Gratitude Practice","Start your day with scientifically-proven positivity - Quick Travel Edition",happiness,mindfulness,Easy,"Write three specific things you're grateful for each morning, focusing on why you're grateful.","Increase happiness by 25%","Improve relationships significantly","Reduce depression symptoms",5 minutes,Daily,Free,No,"gratitude, morning routine, happiness, mindfulness, mental health, quick, travel"
205,"Quick Family The 2-Minute Morning Gratitude Practice","Start your day with scientifically-proven positivity - Quick Family Edition",happiness,mindfulness,Easy,"Write three specific things you're grateful for each morning, focusing on why you're grateful.","Increase happiness by 25%","Improve relationships significantly","Reduce depression symptoms",5 minutes,Daily,Free,No,"gratitude, morning routine, happiness, mindfulness, mental health, quick, family"
206,"Comprehensive Morning The 2-Minute Morning Gratitude Practice","Start your day with scientifically-proven positivity - Comprehensive Morning Edition",happiness,mindfulness,Advanced,"Write three specific things you're grateful for each morning, focusing on why you're grateful.","Increase happiness by 25%","Improve relationships significantly","Reduce depression symptoms",60+ minutes,Daily,Free,No,"gratitude, morning routine, happiness, mindfulness, mental health, comprehensive, morning"
207,"Comprehensive Evening The 2-Minute Morning Gratitude Practice","Start your day with scientifically-proven positivity - Comprehensive Evening Edition",happiness,mindfulness,Advanced,"Write three specific things you're grateful for each morning, focusing on why you're grateful.","Increase happiness by 25%","Improve relationships significantly","Reduce depression symptoms",60+ minutes,Daily,Free,No,"gratitude, morning routine, happiness, mindfulness, mental health, comprehensive, evening"
208,"Comprehensive Weekend The 2-Minute Morning Gratitude Practice","Start your day with scientifically-proven positivity - Comprehensive Weekend Edition",happiness,mindfulness,Advanced,"Write three specific things you're grateful for each morning, focusing on why you're grateful.","Increase happiness by 25%","Improve relationships significantly","Reduce depression symptoms",60+ minutes,Daily,Free,No,"gratitude, morning routine, happiness, mindfulness, mental health, comprehensive, weekend"
209,"Comprehensive Workplace The 2-Minute Morning Gratitude Practice","Start your day with scientifically-proven positivity - Comprehensive Workplace Edition",happiness,mindfulness,Advanced,"Write three specific things you're grateful for each morning, focusing on why you're grateful.","Increase happiness by 25%","Improve relationships significantly","Reduce depression symptoms",60+ minutes,Daily,Free,No,"gratitude, morning routine, happiness, mindfulness, mental health, comprehensive, workplace"
210,"Comprehensive Travel The 2-Minute Morning Gratitude Practice","Start your day with scientifically-proven positivity - Comprehensive Travel Edition",happiness,mindfulness,Advanced,"Write three specific things you're grateful for each morning, focusing on why you're grateful.","Increase happiness by 25%","Improve relationships significantly","Reduce depression symptoms",60+ minutes,Daily,Free,No,"gratitude, morning routine, happiness, mindfulness, mental health, comprehensive, travel"
211,"Comprehensive Family The 2-Minute Morning Gratitude Practice","Start your day with scientifically-proven positivity - Comprehensive Family Edition",happiness,mindfulness,Advanced,"Write three specific things you're grateful for each morning, focusing on why you're grateful.","Increase happiness by 25%","Improve relationships significantly","Reduce depression symptoms",60+ minutes,Daily,Free,No,"gratitude, morning routine, happiness, mindfulness, mental health, comprehensive, family"
212,"Budget Morning The 2-Minute Morning Gratitude Practice","Start your day with scientifically-proven positivity - Budget Morning Edition",happiness,mindfulness,Moderate,"Write three specific things you're grateful for each morning, focusing on why you're grateful.","Increase happiness by 25%","Improve relationships significantly","Reduce depression symptoms",2 minutes,Daily,Free,No,"gratitude, morning routine, happiness, mindfulness, mental health, budget, morning"
213,"Budget Evening The 2-Minute Morning Gratitude Practice","Start your day with scientifically-proven positivity - Budget Evening Edition",happiness,mindfulness,Moderate,"Write three specific things you're grateful for each morning, focusing on why you're grateful.","Increase happiness by 25%","Improve relationships significantly","Reduce depression symptoms",2 minutes,Daily,Free,No,"gratitude, morning routine, happiness, mindfulness, mental health, budget, evening"
214,"Budget Weekend The 2-Minute Morning Gratitude Practice","Start your day with scientifically-proven positivity - Budget Weekend Edition",happiness,mindfulness,Moderate,"Write three specific things you're grateful for each morning, focusing on why you're grateful.","Increase happiness by 25%","Improve relationships significantly","Reduce depression symptoms",2 minutes,Daily,Free,No,"gratitude, morning routine, happiness, mindfulness, mental health, budget, weekend"
